City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Green River,US,88.2,clear sky,41.5286,-109.4662,Hampton Inn & Suites Green River
1,Bambanglipuro,ID,75.54,scattered clouds,-7.95,110.2833,Puri Brata
2,Tabuk,PH,75.07,broken clouds,17.4189,121.4443,Golden Berries Hotel and Convention
7,Ribeira Grande,PT,75.6,broken clouds,38.5167,-28.7,Quinta da Meia Eira
8,Pilar,BR,78.73,few clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
17,Atuona,PF,77.29,clear sky,-9.8,-139.0333,Villa Enata
22,Jamestown,US,83.52,few clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
26,Itupiranga,BR,89.92,overcast clouds,-5.1347,-49.3267,Hotel Panorama
38,Hambantota,LK,80.94,scattered clouds,6.1241,81.1185,Bungalow 63
45,Smithers,CA,84.38,broken clouds,54.7804,-127.1743,"Prestige Hudson Bay Lodge, Premier Collection"
47,Cranbrook,CA,84.67,clear sky,49.4999,-115.7688,Almo Court Motel
50,Hithadhoo,MV,82.24,overcast clouds,-0.6,73.0833,Scoop Guest House
51,Georgetown,MY,79.9,few clouds,5.4112,100.3354,Cititel Penang
52,Maceio,BR,80.04,few clouds,-9.6658,-35.7353,Poutur Pousada
53,Itarema,BR,82.83,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
54,Indramayu,ID,78.78,overcast clouds,-6.3264,108.32,Grand Trisula Hotel
55,Victoria,HK,85.32,overcast clouds,22.2855,114.1577,Mini Hotel Central
56,Tomatlan,MX,88.2,few clouds,19.9333,-105.25,El Salvial
57,Kapaa,US,82.72,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
64,Jiaxing,CN,77.02,light rain,30.7522,120.75,Jiaxing Sunny Hotel
65,Abaete,BR,85.05,clear sky,-19.16,-45.4458,Hotel Millenium
66,Finschhafen,PG,76.51,overcast clouds,-6.6024,147.8681,Cossam Guest House
68,San Cristobal,VE,80.78,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
74,Guerrero Negro,MX,84.79,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
77,Halifax,CA,86.52,scattered clouds,44.6453,-63.5724,Hotel Halifax
79,Kavieng,PG,81.1,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
83,Tautira,PF,80.62,overcast clouds,-17.7333,-149.15,Pension Oaoa
84,Muscat,OM,87.82,overcast clouds,23.6139,58.5922,Mutrah Hotel
89,Takoradi,GH,76.78,overcast clouds,4.8845,-1.7554,Raybow International Hotel
97,Sao Mateus,BR,76.69,few clouds,-18.7161,-39.8589,Hotel Rio Norte
98,Labuhan,ID,76.03,clear sky,-6.8844,112.2051,PT PPI Lamongan Tambak C
101,Piacabucu,BR,76.75,few clouds,-10.4056,-36.4344,Piaçabuçu News
102,Vila Franca Do Campo,PT,75.61,few clouds,37.7167,-25.4333,Pestana Bahia Praia
104,Aguas Verdes,PE,75.76,overcast clouds,-3.4814,-80.245,Sol Del Sur Hotel
105,Salalah,OM,77.09,light intensity drizzle,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
107,Shingu,JP,79.92,moderate rain,33.7333,135.9833,Shingu UI Hotel
108,Mao,ES,81.16,clear sky,39.8885,4.2658,ARTIEM Capri
109,Tenenkou,ML,88.86,broken clouds,14.4572,-4.9169,
113,Eyl,SO,76.6,broken clouds,7.9803,49.8164,Amiin Hotel
115,Sao Bras De Alportel,PT,81.28,clear sky,37.1531,-7.8875,Casa Kalu
116,Naze,JP,78.06,broken clouds,28.3667,129.4833,Amami Port Tower Hotel
117,Butaritari,KI,81.97,light rain,3.0707,172.7902,Isles Sunset Lodge
124,Hilo,US,78.12,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
130,Sola,VU,77.56,overcast clouds,-13.8833,167.55,Leumerus Bungalows
133,Meiktila,MM,77.29,overcast clouds,20.8667,95.8667,The Floral Breeze Wunzin Hotel
134,Kavaratti,IN,81.5,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
135,Monaragala,LK,79.32,overcast clouds,6.8714,81.3487,Silanrich Hotel
136,Katsuura,JP,78.91,moderate rain,35.1333,140.3,Katsuura Hotel Mikazuki
137,Pachino,IT,85.6,clear sky,36.7186,15.0907,Pietra Bianca B&B
140,Sturgis,US,82.38,broken clouds,41.7992,-85.4192,Best Western Plus Howe Inn
145,Jobabo,CU,84.22,overcast clouds,20.9692,-76.2994,Motel De Aguas Claras
147,Amapa,BR,80.62,overcast clouds,1.0,-52.0,
149,Saint-Francois,FR,81.84,clear sky,46.4154,3.9054,Manoir Du Bonheur
151,Conde,BR,80.06,few clouds,-7.2597,-34.9075,Pousada Beija Flor
155,Lorengau,PG,81.46,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
157,Bandarbeyla,SO,76.06,few clouds,9.4942,50.8122,JABIR HOTEL
164,Vaitape,PF,78.8,broken clouds,-16.5167,-151.75,Conrad Bora Bora Nui
165,Monrovia,LR,78.57,overcast clouds,6.3005,-10.7969,Sunset Inn
166,Garden City,US,84.18,overcast clouds,42.3256,-83.331,Quality Inn & Suites Banquet Center
168,Sturgeon Bay,US,79.09,broken clouds,44.8342,-87.377,AmericInn by Wyndham Sturgeon Bay
171,Sumenep,ID,78.28,few clouds,-7.0167,113.8667,OYO 3271 Homestay Pandian
173,Bathsheba,BB,88.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
176,Tezu,IN,75.85,overcast clouds,27.9167,96.1667,Circuit House
179,Istiaia,GR,82.69,clear sky,38.9558,23.1528,John's Houses
182,Ponta Do Sol,PT,75.83,clear sky,32.6667,-17.1,Hotel do Campo
189,La Asuncion,VE,82.69,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
191,Umm Kaddadah,SD,84.69,overcast clouds,13.6017,26.6876,
193,Hirara,JP,82.0,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
194,Vanimo,PG,76.59,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
195,Quang Ngai,VN,78.93,overcast clouds,15.1167,108.8,Central Hotel
197,The Valley,AI,89.46,overcast clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
198,Colares,PT,81.59,clear sky,38.7992,-9.4469,Arribas Sintra Hotel
199,Tual,ID,80.24,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
202,Yumen,CN,75.61,overcast clouds,40.2833,97.2,
206,Najran,SA,89.2,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
209,Tutoia,BR,85.98,broken clouds,-2.7619,-42.2744,Pousada Guará's
213,Lubliniec,PL,75.45,overcast clouds,50.669,18.6844,Hotel Zamek Lubliniec
215,San Quintin,MX,79.84,scattered clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
216,Yangjiang,CN,80.42,overcast clouds,21.85,111.9667,HUALUXE Yangjiang City Center
217,Don Sak,TH,80.67,overcast clouds,9.3168,99.6918,Sea Sun Moon Hostel
222,Savannah Bight,HN,87.85,clear sky,16.45,-85.85,Villa on Dunbar Rock
223,Tabou,CI,76.1,overcast clouds,4.423,-7.3528,hotêl doufoulougou
226,Jinxiang,CN,80.26,overcast clouds,27.4327,120.6062,Wolong Village
