City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
0,Green River,US,41.5286,-109.4662,88.2,28,0,3,clear sky,0,0
1,Bambanglipuro,ID,-7.95,110.2833,75.54,87,46,7.18,scattered clouds,0,0
2,Tabuk,PH,17.4189,121.4443,75.07,84,74,1.5,broken clouds,0,0
3,Rikitea,PF,-23.1203,-134.9692,74.08,78,0,7.09,clear sky,0,0
4,Vaini,TO,-21.2,-175.2,66.36,88,75,6.91,light rain,0,0
5,Cape Town,ZA,-33.9258,18.4232,54.88,71,0,3,clear sky,0,0
6,Bredasdorp,ZA,-34.5322,20.0403,50.29,85,0,6.64,clear sky,0,0
7,Ribeira Grande,PT,38.5167,-28.7,75.6,88,75,11.5,broken clouds,0,0
8,Pilar,BR,-9.5972,-35.9567,78.73,74,16,8.08,few clouds,0,0
9,Mataura,NZ,-46.1927,168.8643,42.48,95,100,11.43,light rain,0.68,0
10,Berlevag,NO,70.8578,29.0864,52.09,92,100,8.32,overcast clouds,0,0
11,Busselton,AU,-33.65,115.3333,47.08,87,21,2.35,few clouds,0,0
12,Lebu,CL,-37.6167,-73.65,52.27,70,1,6.82,clear sky,0,0
13,Carnarvon,AU,-24.8667,113.6333,50.07,66,0,6.91,clear sky,0,0
14,Albany,US,42.6001,-73.9662,92.8,59,70,7.02,broken clouds,0,0
15,Nikolskoye,RU,59.7035,30.7861,66.02,79,2,5.53,clear sky,0,0
16,Qaanaaq,GL,77.484,-69.3632,44.1,55,0,6.76,clear sky,0,0
17,Atuona,PF,-9.8,-139.0333,77.29,77,10,17.87,clear sky,0,0
18,Bambous Virieux,MU,-20.3428,57.7575,68.22,94,20,5.75,few clouds,0,0
19,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,39.79,100,90,4.47,fog,0,0
20,Port Lincoln,AU,-34.7333,135.8667,50.31,86,0,6.67,clear sky,0,0
21,Upernavik,GL,72.7868,-56.1549,43.45,93,100,9.64,moderate rain,1.04,0
22,Jamestown,US,42.097,-79.2353,83.52,81,20,4,few clouds,0,0
23,Brae,GB,60.3964,-1.353,58.91,77,92,4.72,overcast clouds,0,0
24,Hermanus,ZA,-34.4187,19.2345,50.81,78,2,14.52,clear sky,0,0
25,Mecca,SA,21.4267,39.8261,90.7,37,6,6.22,clear sky,0,0
26,Itupiranga,BR,-5.1347,-49.3267,89.92,39,89,2.13,overcast clouds,0,0
27,Dikson,RU,73.5069,80.5464,43.95,100,100,1.63,overcast clouds,0,0
28,Ushuaia,AR,-54.8,-68.3,37.06,93,75,10.36,light intensity drizzle,0.5,0
29,Zapolyarnyy,RU,69.4154,30.8136,52.88,94,27,5.32,scattered clouds,0,0
30,Bluff,NZ,-46.6,168.3333,42.8,69,100,29.73,overcast clouds,0,0
31,Rawson,AR,-43.3002,-65.1023,65.84,20,0,9.71,clear sky,0,0
32,Hvolsvollur,IS,63.7533,-20.2243,62.82,83,96,5.57,overcast clouds,0,0
33,Saint-Philippe,RE,-21.3585,55.7679,71.15,78,2,5.66,clear sky,0,0
34,Punta Arenas,CL,-53.15,-70.9167,51.91,62,40,31.07,light rain,0.35,0
35,Young,UY,-32.6833,-57.6333,61.23,59,4,9.15,clear sky,0,0
36,Tiksi,RU,71.6872,128.8694,43.54,76,100,5.99,overcast clouds,0,0
37,Bethel,US,41.3712,-73.414,96.82,58,10,1.99,clear sky,0,0
38,Hambantota,LK,6.1241,81.1185,80.94,83,40,3.44,scattered clouds,0,0
39,Kyabe,TD,9.4515,18.9449,73.18,93,85,3,overcast clouds,0,0
40,San Patricio,US,28.017,-97.5169,96.03,45,68,12.86,broken clouds,0,0
41,Yellowknife,CA,62.456,-114.3525,59.5,72,100,4.76,overcast clouds,0,0
42,Iqaluit,CA,63.7506,-68.5145,44.33,100,75,9.22,light rain,0.25,0
43,Avera,US,33.194,-82.5271,96.71,34,43,1.07,scattered clouds,0,0
44,Puerto Ayora,EC,-0.7393,-90.3518,70.75,71,76,11.52,broken clouds,0,0
45,Smithers,CA,54.7804,-127.1743,84.38,36,71,0.51,broken clouds,0,0
46,Mayumba,GA,-3.432,10.6554,74.28,86,0,4.76,clear sky,0,0
47,Cranbrook,CA,49.4999,-115.7688,84.67,32,0,4.43,clear sky,0,0
48,Alice Springs,AU,-23.7,133.8833,38.75,45,0,3.44,clear sky,0,0
49,New Norfolk,AU,-42.7826,147.0587,46.71,69,59,4,broken clouds,0,0
50,Hithadhoo,MV,-0.6,73.0833,82.24,74,90,13.04,overcast clouds,0,0
51,Georgetown,MY,5.4112,100.3354,79.9,90,20,3.44,few clouds,0,0
52,Maceio,BR,-9.6658,-35.7353,80.04,65,20,8.05,few clouds,0,0
53,Itarema,BR,-2.9248,-39.9167,82.83,63,62,18.88,broken clouds,0,0
54,Indramayu,ID,-6.3264,108.32,78.78,77,98,10.27,overcast clouds,0,0
55,Victoria,HK,22.2855,114.1577,85.32,87,100,12.15,overcast clouds,0,0
56,Tomatlan,MX,19.9333,-105.25,88.2,61,14,7.14,few clouds,0,0
57,Kapaa,US,22.0752,-159.319,82.72,72,40,4,light rain,0.11,0
58,Comodoro Rivadavia,AR,-45.8667,-67.5,66.06,15,0,10.36,clear sky,0,0
59,Wanaka,NZ,-44.7,169.15,45.1,99,78,1.99,light rain,0.12,0
60,Hobart,AU,-42.8794,147.3294,47.05,74,45,5.99,scattered clouds,0,0
61,Khatanga,RU,71.9667,102.5,50.54,80,100,8.68,overcast clouds,0,0
62,East London,ZA,-33.0153,27.9116,58.17,57,98,8.63,overcast clouds,0,0
63,Aguimes,ES,27.9054,-15.4461,74.66,73,20,26.46,few clouds,0,0
64,Jiaxing,CN,30.7522,120.75,77.02,97,100,7.14,light rain,0.27,0
65,Abaete,BR,-19.16,-45.4458,85.05,24,6,3.36,clear sky,0,0
66,Finschhafen,PG,-6.6024,147.8681,76.51,92,100,8.84,overcast clouds,0,0
67,Srednekolymsk,RU,67.45,153.6833,55.33,84,96,5.39,overcast clouds,0,0
68,San Cristobal,VE,7.7669,-72.225,80.78,51,89,5.57,overcast clouds,0,0
69,Santa Lucia,ES,27.9117,-15.5407,69.76,73,20,26.46,few clouds,0,0
70,Domasnea,RO,45.0833,22.3167,67.01,49,30,3.2,scattered clouds,0,0
71,Aripuana,BR,-9.1667,-60.6333,101.52,17,40,2.04,scattered clouds,0,0
72,Sobolevo,RU,54.4299,31.8996,60.4,71,31,5.99,scattered clouds,0,0
73,Ilulissat,GL,69.2167,-51.1,53.62,66,75,13.8,light rain,0.33,0
74,Guerrero Negro,MX,27.9769,-114.0611,84.79,60,6,11.32,clear sky,0,0
75,Honningsvag,NO,70.9821,25.9704,51.55,82,75,13.8,broken clouds,0,0
76,Port Elizabeth,ZA,-33.918,25.5701,48.09,63,99,8.99,overcast clouds,0,0
77,Halifax,CA,44.6453,-63.5724,86.52,70,25,3,scattered clouds,0,0
78,Leningradskiy,RU,69.3833,178.4167,41.18,94,100,1.92,overcast clouds,0,0
79,Kavieng,PG,-2.5744,150.7967,81.1,78,92,10.87,overcast clouds,0,0
80,Kisaran,ID,2.9845,99.6158,74.19,96,100,0.69,overcast clouds,0,0
81,Kirovskiy,RU,45.0917,133.5136,57.27,70,77,3.33,broken clouds,0,0
