City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Vaini,TO,2021-08-13 02:36:05,-21.2,-175.2,73.56,78,40,12.66
1,Sulangan,PH,2021-08-13 02:40:16,11.1373,123.7228,83.5,71,12,1.28
2,Chuy,UY,2021-08-13 02:36:28,-33.6971,-53.4616,43.48,87,0,4.94
3,Rikitea,PF,2021-08-13 02:35:55,-23.1203,-134.9692,74.44,84,4,14.25
4,Barrow,US,2021-08-13 02:35:44,71.2906,-156.7887,37.42,75,90,10.36
5,Arraial Do Cabo,BR,2021-08-13 02:36:40,-22.9661,-42.0278,68.85,84,100,17.74
6,Chulumani,BO,2021-08-13 02:40:17,-16.4096,-67.5263,57.67,88,53,1.66
7,Dingle,PH,2021-08-13 02:37:34,10.9995,122.6711,88.27,62,43,6.58
8,Yellowknife,CA,2021-08-13 02:34:18,62.456,-114.3525,66.72,55,40,4.61
9,Svetlaya,RU,2021-08-13 02:40:18,46.5389,138.3297,66.33,63,0,7.83
10,Punta Arenas,CL,2021-08-13 02:35:42,-53.15,-70.9167,46.09,80,96,23.26
11,Inhambane,MZ,2021-08-13 02:40:18,-23.865,35.3833,67.95,89,5,13.49
12,Hobart,AU,2021-08-13 02:36:05,-42.8794,147.3294,58.12,59,75,8.99
13,San Quintin,MX,2021-08-13 02:37:33,30.4833,-115.95,73.76,75,0,6.13
14,Yar-Sale,RU,2021-08-13 02:40:19,66.8333,70.8333,60.19,69,100,10.71
15,Georgetown,MY,2021-08-13 02:37:11,5.4112,100.3354,83.89,77,20,1.01
16,Tayga,RU,2021-08-13 02:40:20,56.06,85.6197,51.26,95,100,6.26
17,Codrington,AU,2021-08-13 02:40:20,-38.2667,141.9667,57.74,65,7,17.27
18,Kodiak,US,2021-08-13 02:35:54,57.79,-152.4072,56.71,72,75,4.61
19,Upernavik,GL,2021-08-13 02:36:09,72.7868,-56.1549,42.96,87,100,10.58
20,Port Alfred,ZA,2021-08-13 02:36:18,-33.5906,26.891,53.26,67,68,10.33
21,Petropavlovsk-Kamchatskiy,RU,2021-08-13 02:37:02,53.0452,158.6483,66.79,52,20,6.71
22,Kapaa,US,2021-08-13 02:36:12,22.0752,-159.319,85.98,65,40,1.99
23,Kangaatsiaq,GL,2021-08-13 02:40:21,68.3065,-53.4641,46.13,73,100,11.45
24,Beisfjord,NO,2021-08-13 02:40:21,68.3751,17.5988,57.04,97,100,2.24
25,Ushuaia,AR,2021-08-13 02:36:12,-54.8,-68.3,44.26,76,75,28.77
26,Vila,PT,2021-08-13 02:40:22,42.0304,-8.1588,59.32,86,0,4.16
27,Bredasdorp,ZA,2021-08-13 02:36:11,-34.5322,20.0403,43.92,87,85,5.75
28,Atuona,PF,2021-08-13 02:36:07,-9.8,-139.0333,77.79,71,55,14.56
29,Airai,TL,2021-08-13 02:37:23,-8.9266,125.4092,74.07,49,51,6.15
30,Jamestown,US,2021-08-13 02:36:24,42.097,-79.2353,76.59,87,1,4.0
31,Isangel,VU,2021-08-13 02:35:57,-19.55,169.2667,77.11,61,40,12.66
32,Mataura,NZ,2021-08-13 02:36:31,-46.1927,168.8643,52.48,62,8,4.45
33,Kaitangata,NZ,2021-08-13 02:40:23,-46.2817,169.8464,53.2,63,5,6.24
34,Novoshcherbinovskaya,RU,2021-08-13 02:40:24,46.4767,38.6476,68.67,92,100,7.61
35,Busselton,AU,2021-08-13 02:35:47,-33.65,115.3333,58.05,72,96,7.7
36,Albany,US,2021-08-13 02:31:52,42.6001,-73.9662,74.52,94,88,4.09
37,Fraser,US,2021-08-13 02:40:24,42.5392,-82.9494,81.03,78,40,1.01
38,Saint George,US,2021-08-13 02:32:11,37.1041,-113.5841,93.38,26,20,10.0
39,Palana,RU,2021-08-13 02:40:25,59.1167,159.9667,53.22,85,54,4.88
40,Trincomalee,LK,2021-08-13 02:37:04,8.5711,81.2335,81.59,76,100,16.22
41,Los Llanos De Aridane,ES,2021-08-13 02:37:15,28.6585,-17.9182,69.55,78,20,12.66
42,Nizwa,OM,2021-08-13 02:40:25,22.9333,57.5333,91.0,35,90,2.95
43,Chokurdakh,RU,2021-08-13 02:37:39,70.6333,147.9167,61.86,62,91,12.24
44,Bambous Virieux,MU,2021-08-13 02:36:20,-20.3428,57.7575,71.85,83,40,12.66
45,Dikson,RU,2021-08-13 02:35:54,73.5069,80.5464,44.53,99,99,10.87
46,Biak,ID,2021-08-13 02:40:26,-0.9131,122.8766,82.8,68,58,5.93
47,Hambantota,LK,2021-08-13 02:36:01,6.1241,81.1185,80.94,83,20,5.75
48,Puerto Ayora,EC,2021-08-13 02:36:21,-0.7393,-90.3518,69.55,85,12,4.0
49,Sovetskiy,RU,2021-08-13 02:37:16,61.3614,63.5842,59.85,62,99,6.69
50,Pisco,PE,2021-08-13 02:36:56,-13.7,-76.2167,60.85,82,0,6.91
51,Erenhot,CN,2021-08-13 02:40:27,43.6475,111.9767,82.09,23,80,15.5
52,Iskateley,RU,2021-08-13 02:40:28,67.6803,53.1512,60.48,90,100,3.38
53,Surab,PK,2021-08-13 02:40:28,28.4914,66.2585,77.32,30,61,2.71
54,Longyearbyen,SJ,2021-08-13 02:35:51,78.2186,15.6401,40.84,100,75,10.36
55,Kitimat,CA,2021-08-13 02:38:48,54.0524,-128.6534,88.18,58,7,1.48
56,Imola,IT,2021-08-13 02:40:29,44.3523,11.7158,77.11,56,55,0.45
57,Saldanha,ZA,2021-08-13 02:40:29,-33.0117,17.9442,44.65,72,0,14.76
58,Borovoy,RU,2021-08-13 02:40:30,55.4333,86.0833,56.48,88,90,8.95
59,San Rafael Del Sur,NI,2021-08-13 02:40:30,11.8485,-86.4384,81.57,74,100,8.19
60,Colares,PT,2021-08-13 02:40:31,38.7992,-9.4469,67.68,76,2,14.58
61,Hilo,US,2021-08-13 02:35:46,19.7297,-155.09,82.13,74,40,10.36
62,Vadso,NO,2021-08-13 02:40:31,70.0744,29.7487,52.68,87,75,9.22
63,Umm Kaddadah,SD,2021-08-13 02:40:31,13.6017,26.6876,81.52,60,56,8.21
64,Cidreira,BR,2021-08-13 02:36:51,-30.1811,-50.2056,56.32,81,100,6.67
65,Butaritari,KI,2021-08-13 02:35:49,3.0707,172.7902,81.97,76,36,7.67
66,Grand Gaube,MU,2021-08-13 02:40:32,-20.0064,57.6608,72.0,84,11,4.0
67,Grootfontein,NA,2021-08-13 02:40:32,-19.5667,18.1167,53.17,37,0,4.61
68,Laguna,US,2021-08-13 02:37:12,38.421,-121.4238,95.25,42,1,7.0
69,Thohoyandou,ZA,2021-08-13 02:40:33,-22.9456,30.485,58.41,82,62,10.2
70,Batemans Bay,AU,2021-08-13 02:40:33,-35.7167,150.1833,65.19,45,0,5.37
71,Namibe,AO,2021-08-13 02:36:28,-15.1961,12.1522,60.8,88,0,5.28
72,Bluff,NZ,2021-08-13 02:35:58,-46.6,168.3333,52.81,74,13,17.52
73,Gunjur,GM,2021-08-13 02:40:34,13.2019,-16.7339,78.87,94,20,4.61
74,Maldonado,UY,2021-08-13 02:40:35,-34.6667,-54.9167,42.19,93,0,4.14
75,Mogadishu,SO,2021-08-13 02:40:35,2.0371,45.3438,75.65,88,47,14.38
76,Voh,NC,2021-08-13 02:36:42,-20.9667,164.7,76.91,45,60,9.71
77,Guerrero Negro,MX,2021-08-13 02:36:24,27.9769,-114.0611,79.09,76,7,13.04
78,Mahon,ES,2021-08-13 02:40:36,39.8885,4.2658,75.76,88,0,5.75
79,Lompoc,US,2021-08-13 02:36:14,34.6391,-120.4579,77.77,89,75,10.36
80,Antofagasta,CL,2021-08-13 02:40:36,-23.65,-70.4,56.48,77,40,6.6
81,New Norfolk,AU,2021-08-13 02:36:04,-42.7826,147.0587,57.76,63,94,8.01
82,Kautokeino,NO,2021-08-13 02:40:36,69.0125,23.0412,50.83,91,99,2.3
83,Ankang,CN,2021-08-13 02:40:37,32.68,109.0172,71.65,93,100,2.75
84,Ormara,PK,2021-08-13 02:40:37,25.2088,64.6357,80.4,77,96,10.02
85,Lata,PT,2021-08-13 02:36:13,40.1629,-8.3327,63.01,89,8,2.39
86,Cherskiy,RU,2021-08-13 02:33:11,68.75,161.3,58.66,79,100,7.16
87,Avarua,CK,2021-08-13 02:36:03,-21.2078,-159.775,66.25,88,90,18.41
88,Chambery,FR,2021-08-13 02:40:39,45.5667,5.9333,70.12,92,0,2.3
89,Hailar,CN,2021-08-13 02:40:39,49.2,119.7,69.17,53,6,9.44
90,Kloulklubed,PW,2021-08-13 02:40:40,7.0419,134.2556,86.5,69,8,9.53
91,East London,ZA,2021-08-13 02:37:31,-33.0153,27.9116,55.78,64,94,10.92
92,Constitucion,CL,2021-08-13 02:36:23,-35.3333,-72.4167,46.54,88,0,2.26
93,Mahebourg,MU,2021-08-13 02:35:54,-20.4081,57.7,71.89,83,40,12.66
94,Tuktoyaktuk,CA,2021-08-13 02:36:08,69.4541,-133.0374,46.4,93,90,11.5
95,Port Blair,IN,2021-08-13 02:40:41,11.6667,92.75,83.37,76,100,12.71
96,Bissora,GW,2021-08-13 02:40:41,12.2231,-15.4475,73.94,95,85,4.45
97,San Angelo,US,2021-08-13 02:37:27,31.4638,-100.437,89.82,37,1,4.0
98,Urdoma,RU,2021-08-13 02:40:41,61.7533,48.5442,62.31,65,99,7.23
99,Cape Town,ZA,2021-08-13 02:34:20,-33.9258,18.4232,52.12,76,0,1.01
100,Bethel,US,2021-08-13 02:36:30,41.3712,-73.414,80.96,79,1,0.0
101,Bengkulu,ID,2021-08-13 02:35:58,-3.8004,102.2655,82.26,65,100,2.59
102,Hamilton,US,2021-08-13 02:32:40,39.1834,-84.5333,83.64,77,20,1.99
103,Saint-Philippe,RE,2021-08-13 02:36:58,-21.3585,55.7679,69.35,83,30,8.01
104,Leningradskiy,RU,2021-08-13 02:40:42,69.3833,178.4167,53.1,54,100,4.59
105,Westport,US,2021-08-13 02:40:43,41.1415,-73.3579,84.34,80,1,4.0
106,Castro,BR,2021-08-13 02:35:58,-24.7911,-50.0119,47.71,98,100,7.2
107,Ponta Do Sol,PT,2021-08-13 02:35:45,32.6667,-17.1,72.23,80,7,3.51
108,Rudbar,AF,2021-08-13 02:40:43,30.15,62.6,85.66,17,13,12.5
109,Saint-Augustin,CA,2021-08-13 02:40:43,51.226,-58.6502,61.75,97,99,3.62
110,Calabozo,VE,2021-08-13 02:40:44,8.9242,-67.4293,74.52,92,97,2.01
111,Pevek,RU,2021-08-13 02:37:20,69.7008,170.3133,39.92,100,100,9.62
112,Wejherowo,PL,2021-08-13 02:40:44,54.6057,18.2356,58.82,86,17,1.01
113,Nikolskoye,RU,2021-08-13 02:37:11,59.7035,30.7861,64.29,93,100,11.74
114,Faanui,PF,2021-08-13 02:36:08,-16.4833,-151.75,79.11,69,9,12.77
115,Oriximina,BR,2021-08-13 02:40:45,-1.7656,-55.8661,77.25,78,81,5.7
116,Ereymentau,KZ,2021-08-13 02:40:45,51.6199,73.1033,53.94,74,99,16.35
117,Wukari,NG,2021-08-13 02:36:59,7.85,9.7833,71.4,97,100,4.0
118,Hermanus,ZA,2021-08-13 02:35:45,-34.4187,19.2345,51.91,76,11,9.08
119,Hualmay,PE,2021-08-13 02:40:46,-11.0964,-77.6139,61.77,82,58,10.76
120,Qaanaaq,GL,2021-08-13 02:36:22,77.484,-69.3632,36.05,70,15,3.33
121,Spassk-Ryazanskiy,RU,2021-08-13 02:40:47,54.4072,40.3806,64.09,95,100,7.29
122,Khatanga,RU,2021-08-13 02:36:22,71.9667,102.5,51.89,68,100,9.95
123,Searcy,US,2021-08-13 02:40:47,35.2506,-91.7363,88.52,77,1,9.22
124,Kargasok,RU,2021-08-13 02:37:21,59.0556,80.8572,55.67,61,63,15.39
125,Moerai,PF,2021-08-13 02:36:07,-22.4333,-151.3333,73.47,80,100,10.29
126,Meulaboh,ID,2021-08-13 02:40:48,4.1363,96.1285,80.42,80,99,8.39
127,Tan An,VN,2021-08-13 02:40:48,10.5333,106.4167,84.22,56,90,7.31
128,Lagoa,PT,2021-08-13 02:40:48,39.05,-27.9833,72.86,82,4,18.84
129,Alexandria,EG,2021-08-13 02:40:49,31.2156,29.9553,80.56,89,20,5.75
130,Neftcala,AZ,2021-08-13 02:40:49,39.3742,49.2472,83.52,57,55,3.44
131,Cabo San Lucas,MX,2021-08-13 02:40:49,22.8909,-109.9124,84.61,77,90,8.05
